7.933333,3.87
8.016667,3.76
8.5,3.67
8.533333,3.73
8.566667,3.66
8.6,3.69
8.633333,3.73
8.666667,5.58
8.7,8.44
8.766667,10.61
8.8,10.91
8.833333,11.14
8.866667,11.22
8.9,11.41
8.933333,11.49
8.966667,11.49
9,11.61
9.033333,11.49
9.066667,11.47
9.1,11.59
9.133333,11.47
9.166667,11.47
9.233333,11.55
9.3,11.47
9.366667,11.47
9.433333,11.43
9.5,11.47
9.566667,11.47
9.633333,11.43
9.7,10.99
9.766667,11.41
9.833333,11.48
10,11.68
10.166667,11.63
10.333333,11.52
10.5,11.54
10.666667,11.56
10.833333,11.37
11,11.46
11.166667,11.4
11.333333,11.44
11.5,10.23
11.533333,10.51
11.566667,10.99
11.6,11.22
11.633333,11.21
11.666667,9.05
11.7,6.47
11.733333,5.22
11.766667,4.6
11.8,4.28
11.833333,4.18
11.866667,4.01
11.9,3.95
11.933333,3.93
11.966667,3.86
12,3.85
12.033333,3.96
12.066667,3.81
12.1,3.79
12.133333,3.76
12.166667,3.73
12.233333,3.72
12.3,3.71
12.366667,3.71
12.433333,3.72
12.5,3.71
12.566667,3.67
12.633333,3.67
12.7,3.7
12.766667,3.71
12.833333,3.71
13,3.67
13.166667,3.64
13.333333,3.66
13.5,3.64
13.666667,3.66
13.833333,3.64
14,3.75
14.166667,3.68
14.333333,3.7
15.166667,3.7
15.683333,3.83
16.166667,3.74
16.683333,3.88
17.166667,3.66
17.683333,3.72
18.683333,3.76
19.683333,3.72
20.683333,3.74
21.683333,3.83
22.683333,3.8
23.683333,3.93
24.683333,4.06
25.683333,4.1
26.683333,4.11
27.683333,4.08
28.683333,4.16
29.683333,4.5
30.683333,4.46
31.683333,4.28
32.683333,4.41
33.683333,4.38
34.683333,4.51
35.683333,4.39
